met,metName,degree,keggID,hmdbID,stringsAsFactors,compartment,met_no_compartment,met_Rid,ID
3ohodcoa[r],3-Oxooctadecanoyl-CoA,2,C16216,HMDB06498,FALSE,[r],3ohodcoa,X3ohodcoa.r.,HMDB0006498
od2coa[n],trans-Octadec-2-enoyl-CoA,2,C16218,HMDB06529,FALSE,[n],od2coa,od2coa.n.,HMDB0006529
sprm[x],spermine(4+),2,C00750,HMDB01256,FALSE,[x],sprm,sprm.x.,HMDB0001256
CE1935[x],spermine monoaldehyde,2,,,FALSE,[x],CE1935,CE1935.x.,
CE1940[x],spermidine monoaldehyde 2,2,,HMDB12135,FALSE,[x],CE1940,CE1940.x.,HMDB0012135
CE1943[c],spermidine dialdehyde,2,,,FALSE,[c],CE1943,CE1943.c.,
CE1943[x],spermidine dialdehyde,2,,,FALSE,[x],CE1943,CE1943.x.,
CE1944[c],1-pyrrolinium,2,C15668,HMDB12497,FALSE,[c],CE1944,CE1944.c.,HMDB0012497
CE2011[e],hypothiocyanite,2,,HMDB12974,FALSE,[e],CE2011,CE2011.e.,HMDB0012974
CE1936[e],spermine dialdehyde,2,,HMDB13076,FALSE,[e],CE1936,CE1936.e.,HMDB0013076
CE1939[x],spermidine monoaldehyde 1,2,,,FALSE,[x],CE1939,CE1939.x.,
CE2705[c],quinonoid dihydrobiopterin,2,C02953,HMDB00038,FALSE,[c],CE2705,CE2705.c.,HMDB0000038
thbpt4acam[n],4a-hydroxytetrahydrobiopterin,2,C15522,HMDB02281,FALSE,[n],thbpt4acam,thbpt4acam.n.,HMDB0002281
CE2705[n],quinonoid dihydrobiopterin,2,C02953,HMDB00038,FALSE,[n],CE2705,CE2705.n.,HMDB0000038
CE2870[c],"3,3'-diiodo-L-thyronine 4'-O-sulfate",2,,,FALSE,[c],CE2870,CE2870.c.,
CE2866[r],"3,3'-diiodo-L-thyronine",2,,,FALSE,[r],CE2866,CE2866.r.,
maltttr[c],Maltotetraose,2,C02052,HMDB01296,FALSE,[c],maltttr,maltttr.c.,HMDB0001296
CE2872[c],"3',5'-diiodo-L-thyronine",2,,,FALSE,[c],CE2872,CE2872.c.,
CE2872[r],"3',5'-diiodo-L-thyronine",2,,,FALSE,[r],CE2872,CE2872.r.,
maltpt[c],maltopentaose,2,,HMDB12254,FALSE,[c],maltpt,maltpt.c.,HMDB0012254
malthx[c],Maltohexaose,2,C01936,HMDB12253,FALSE,[c],malthx,malthx.c.,HMDB0012253
CE2915[e],beta-casomorphin,2,,,FALSE,[e],CE2915,CE2915.e.,
CE4722[e],beta-casomorphin (1-6),2,,,FALSE,[e],CE4722,CE4722.e.,
CE2916[e],neocasomorphin,2,,,FALSE,[e],CE2916,CE2916.e.,
CE4723[e],neocasomorphin (1-5),2,,,FALSE,[e],CE4723,CE4723.e.,
CE2917[e],apelin-13,2,,HMDB12894,FALSE,[e],CE2917,CE2917.e.,HMDB0012894
CE4724[e],apelin (1-12),2,,,FALSE,[e],CE4724,CE4724.e.,
malthp[e],maltoheptaose,2,,HMDB13000,FALSE,[e],malthp,malthp.e.,HMDB0013000
CE2839[e],maltodecaose,2,,HMDB12999,FALSE,[e],CE2839,CE2839.e.,HMDB0012999
CE2838[e],maltononaose,2,,HMDB13001,FALSE,[e],CE2838,CE2838.e.,HMDB0013001
CE1950[e],cyanosulfurous acid anion,2,,HMDB12916,FALSE,[e],CE1950,CE1950.e.,HMDB0012916
cynt[e],Cyanate,2,C01417,HMDB02078,FALSE,[e],cynt,cynt.e.,HMDB0002078
CE2751[c],dynorphin A (1-5),2,,,FALSE,[c],CE2751,CE2751.c.,
andrstndn[c],"androst-4-ene-3,17-dione",2,C00280,HMDB00053,FALSE,[c],andrstndn,andrstndn.c.,HMDB0000053
ac[r],acetate,2,C00033,HMDB00042,FALSE,[r],ac,ac.r.,HMDB0000042
N1sprm[x],N(1)-acetylsperminium(3+),2,C02567,HMDB01186,FALSE,[x],N1sprm,N1sprm.x.,HMDB0001186
N1sprm[c],N(1)-acetylsperminium(3+),2,C02567,HMDB01186,FALSE,[c],N1sprm,N1sprm.c.,HMDB0001186
C03413[c],"N(1),N(12)-diacetylsperminium(2+)",2,C03413,HMDB02172,FALSE,[c],C03413,C03413.c.,HMDB0002172
CE2201[c],"23S,25-dihydroxyvitamin D3",2,,HMDB06720,FALSE,[c],CE2201,CE2201.c.,HMDB0006720
CE2202[c],"23S,25,26-trihydroxyvitamin D3",2,,,FALSE,[c],CE2202,CE2202.c.,
CE2202[m],"23S,25,26-trihydroxyvitamin D3",2,,,FALSE,[m],CE2202,CE2202.m.,
CE2203[c],"25-hydroxyvitamin D3-26,23-lactol",2,,,FALSE,[c],CE2203,CE2203.c.,
CE2203[m],"25-hydroxyvitamin D3-26,23-lactol",2,,,FALSE,[m],CE2203,CE2203.m.,
pail_hs[g],1-phosphatidyl-1D-myo-inositol(1-),2,,,FALSE,[g],pail_hs,pail_hs.g.,
